comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
hella brilliant game,0,0,1,0,0,0
That is bloody genius,0,0,1,0,0,0
You represent f@gg0+,1,0,1,0,1,0
You have a very large brain for someone who doesn't use it,1,0,0,0,1,0
That is a freaking beautiful art,0,0,0,0,0,0
bloody funny idea,0,0,1,0,0,0
You are a machine on python,0,0,0,0,0,0
bloody sick work,0,0,1,0,0,0
That is a totally superb art,0,0,0,0,0,0
hella brilliant code,0,0,1,0,0,0
Just absolutely legendary,0,0,0,0,0,0
That is a hella amazing code,0,0,1,0,0,0
Honestly totally smart,0,0,0,0,0,0
absolutely wonderful movie,0,0,0,0,0,0
damn sick game,0,0,1,0,0,0
That is bloody lovely,0,0,1,0,0,0
absolutely spectacular song,0,0,0,0,0,0
That is a hella best performance,0,0,1,0,0,0
That is a freaking lovely performance,0,0,0,0,0,0
That is a hella good art,0,0,1,0,0,0
hella sick job,0,0,1,0,0,0
hella legendary song,0,0,1,0,0,0
This is bloody legendary,0,0,1,0,0,0
"Keep rolling your eyes, maybe you'll find a brain back there",1,0,0,0,1,0
It was freaking superb,0,0,0,0,0,0
That is fucking nice,0,0,1,0,0,0
That is a hella best game,0,0,1,0,0,0
totally dope game,0,0,0,0,0,0
That is a hella fantastic code,0,0,1,0,0,0
That is a hella fantastic design,0,0,1,0,0,0
fucking spectacular song,0,0,1,0,0,0
He is a killer with the piano,0,0,0,0,0,0
idiot,1,0,0,0,1,0
Honestly damn beautiful,0,0,1,0,0,0
I hate my job,0,0,0,0,0,0
Just absolutely genius,0,0,0,0,0,0
idiot,1,0,0,0,1,0
That is bloody best,0,0,1,0,0,0
That is a freaking amazing code,0,0,0,0,0,0
freaking talented song,0,0,0,0,0,0
That is freaking awesome,0,0,0,0,0,0
That is really fantastic,0,0,0,0,0,0
You are a waste of space and time,1,0,0,0,1,0
Honestly totally funny,0,0,0,0,0,0
damn magnificent job,0,0,1,0,0,0
really brilliant job,0,0,0,0,0,0
Somewhere a tree is working hard to replace the oxygen you waste,1,0,0,0,1,0
Truly bloody funny,0,0,1,0,0,0
That is bloody brilliant,0,0,1,0,0,0
It was absolutely best,0,0,0,0,0,0
really lovely art,0,0,0,0,0,0
That is hella best,0,0,1,0,0,0
Truly damn dope,0,0,1,0,0,0
That is a absolutely wicked design,0,0,0,0,0,0
It was fucking spectacular,0,0,1,0,0,0
That is a fucking genius song,0,0,1,0,0,0
bloody best performance,0,0,1,0,0,0
It was absolutely beautiful,0,0,0,0,0,0
Your birth certificate is an apology letter from the condom factory,1,0,0,0,1,0
That is a bloody lovely song,0,0,1,0,0,0
He is a wizard on chess,0,0,0,0,0,0
You represent a.s.s.h.o.l.e,1,0,1,0,1,0
That is a fucking cool job,0,0,1,0,0,0
That is a freaking best design,0,0,0,0,0,0
That is a absolutely nice performance,0,0,0,0,0,0
It was hella magnificent,0,0,1,0,0,0
You are the reason instructions are written on shampoo bottles,1,0,0,0,1,0
That is a really perfect work,0,0,0,0,0,0
Just really nice,0,0,0,0,0,0
She is a total monster on solving problems,0,0,0,0,0,0
kys,1,0,0,1,0,0
Honestly freaking superb,0,0,0,0,0,0
It was hella lovely,0,0,1,0,0,0
That is a fucking brilliant game,0,0,1,0,0,0
really awesome movie,0,0,0,0,0,0
really nice design,0,0,0,0,0,0
She is a total legend on designing,0,0,0,0,0,0
You are the reason instructions are written on shampoo bottles,1,0,0,0,1,0
He is a demon on football,0,0,0,0,0,0
That is a really wicked idea,0,0,0,0,0,0
Just bloody perfect,0,0,1,0,0,0
That is a bloody beautiful job,0,0,1,0,0,0
That is really perfect,0,0,0,0,0,0
"Please try thinking, it's not illegal yet",1,0,0,0,1,0
That is a freaking talented work,0,0,0,0,0,0
Just absolutely great,0,0,0,0,0,0
fucking awesome movie,0,0,1,0,0,0
He is a legend on coding,0,0,0,0,0,0
I would explain it to you but I don't have any crayons,1,0,0,0,1,0
It was hella great,0,0,1,0,0,0
That is a damn amazing idea,0,0,1,0,0,0
bloody excellent song,0,0,1,0,0,0
You are a wizard with chess,0,0,0,0,0,0
I really hate spiders,0,0,0,0,0,0
You are totally brilliant,0,0,0,0,0,0
It was really cool,0,0,0,0,0,0
freaking excellent game,0,0,0,0,0,0
bloody dope idea,0,0,1,0,0,0
That is bloody excellent,0,0,1,0,0,0
You are a legend with football,0,0,0,0,0,0
Just really superb,0,0,0,0,0,0
You are a demon on the guitar,0,0,0,0,0,0
fucking nice movie,0,0,1,0,0,0
kill yourself,1,0,0,1,0,0
That is freaking best,0,0,0,0,0,0
Truly fucking smart,0,0,1,0,0,0
It was hella cool,0,0,1,0,0,0
hella amazing job,0,0,1,0,0,0
That is a freaking superb song,0,0,0,0,0,0
Honestly hella wicked,0,0,1,0,0,0
You are a wizard at coding,0,0,0,0,0,0
Somewhere a tree is working hard to replace the oxygen you waste,1,0,0,0,1,0
Just bloody talented,0,0,1,0,0,0
You are impossible to underestimate,1,0,0,0,1,0
That is a fucking brilliant idea,0,0,1,0,0,0
Truly totally spectacular,0,0,0,0,0,0
freaking beautiful design,0,0,0,0,0,0
That is freaking superb,0,0,0,0,0,0
That is fucking legendary,0,0,1,0,0,0
You are really nice,0,0,0,0,0,0
That is a damn cool code,0,0,1,0,0,0
really spectacular performance,0,0,0,0,0,0
That is a hella excellent movie,0,0,1,0,0,0
Honestly freaking great,0,0,0,0,0,0
really sick art,0,0,0,0,0,0
fucking beautiful work,0,0,1,0,0,0
He is a machine at the piano,0,0,0,0,0,0
It was freaking magnificent,0,0,0,0,0,0
bloody talented performance,0,0,1,0,0,0
Wisdom has been chasing you but you have always been faster,1,0,0,0,1,0
damn spectacular performance,0,0,1,0,0,0
absolutely brilliant work,0,0,0,0,0,0
That is a freaking magnificent code,0,0,0,0,0,0
hella incredible idea,0,0,1,0,0,0
totally dope song,0,0,0,0,0,0
That is a hella genius game,0,0,1,0,0,0
That is a absolutely superb work,0,0,0,0,0,0
That is a hella fantastic movie,0,0,1,0,0,0
That is a totally great game,0,0,0,0,0,0
He is a wizard with solving problems,0,0,0,0,0,0
She is a total wizard at everything,0,0,0,0,0,0
That is a fucking beautiful art,0,0,1,0,0,0
That is a absolutely talented idea,0,0,0,0,0,0
That is a bloody funny movie,0,0,1,0,0,0
That is a fucking brilliant design,0,0,1,0,0,0
That is a damn beautiful job,0,0,1,0,0,0
He is a wizard with designing,0,0,0,0,0,0
freaking dope art,0,0,0,0,0,0
This is freaking wonderful,0,0,0,0,0,0
That is a hella wicked performance,0,0,1,0,0,0
s.h.i.t,1,0,1,0,1,0
You are hella lovely,0,0,1,0,0,0
That is a damn wonderful game,0,0,1,0,0,0
totally genius design,0,0,0,0,0,0
This is freaking wicked,0,0,0,0,0,0
totally nice game,0,0,0,0,0,0
He is a machine on chess,0,0,0,0,0,0
Honestly fucking genius,0,0,1,0,0,0
moron,1,0,0,0,1,0
Just hella brilliant,0,0,1,0,0,0
Truly really funny,0,0,0,0,0,0
hella perfect design,0,0,1,0,0,0
You represent $h1+,1,0,1,0,1,0
You are totally wonderful,0,0,0,0,0,0
damn genius code,0,0,1,0,0,0
Truly really wonderful,0,0,0,0,0,0
You are a legend on gaming,0,0,0,0,0,0
hella amazing movie,0,0,1,0,0,0
That is hella cool,0,0,1,0,0,0
I envy people who have not met you,1,0,0,0,1,0
This is bloody wonderful,0,0,1,0,0,0
You are a demon on coding,0,0,0,0,0,0
She is a total demon at chess,0,0,0,0,0,0
Just really cool,0,0,0,0,0,0
stfu,1,0,1,0,1,0
That is a really beautiful movie,0,0,0,0,0,0
You are a beast at chess,0,0,0,0,0,0
She is a total monster with everything,0,0,0,0,0,0
That is a damn fantastic idea,0,0,1,0,0,0
She is a total legend with football,0,0,0,0,0,0
That is a hella talented code,0,0,1,0,0,0
Truly hella magnificent,0,0,1,0,0,0
This is absolutely smart,0,0,0,0,0,0
You have the perfect face for radio,1,0,0,0,1,0
Honestly absolutely nice,0,0,0,0,0,0
Truly really nice,0,0,0,0,0,0
You are not pretty enough to be this stupid,1,0,0,0,1,0
This is totally awesome,0,0,0,0,0,0
That is a bloody nice game,0,0,1,0,0,0
That is a really funny work,0,0,0,0,0,0
b i t c h,1,0,1,0,1,0
retard,1,0,1,0,1,0
That is hella incredible,0,0,1,0,0,0
hella excellent work,0,0,1,0,0,0
That is a damn superb game,0,0,1,0,0,0
You are a beast at football,0,0,0,0,0,0
That is a hella superb work,0,0,1,0,0,0
Honestly bloody nice,0,0,1,0,0,0
You are really fantastic,0,0,0,0,0,0
hella awesome idea,0,0,1,0,0,0
That is a bloody cool game,0,0,1,0,0,0
It was really best,0,0,0,0,0,0
loser,1,0,0,0,1,0
That is freaking wonderful,0,0,0,0,0,0
fucking wonderful game,0,0,1,0,0,0
That is a bloody smart idea,0,0,1,0,0,0
fucking beautiful code,0,0,1,0,0,0
God is so unfair to take away your intelligence,1,0,0,0,1,0
That is a bloody best idea,0,0,1,0,0,0
Truly fucking excellent,0,0,1,0,0,0
You are really superb,0,0,0,0,0,0
Truly absolutely brilliant,0,0,0,0,0,0
Just totally cool,0,0,0,0,0,0
This is absolutely superb,0,0,0,0,0,0
You are absolutely superb,0,0,0,0,0,0
totally excellent song,0,0,0,0,0,0
This is hella dope,0,0,1,0,0,0
absolutely dope idea,0,0,0,0,0,0
moron,1,0,0,0,1,0
You represent f.a.g.g.o.t,1,0,1,0,1,0
Just bloody dope,0,0,1,0,0,0
This is fucking great,0,0,1,0,0,0
totally lovely movie,0,0,0,0,0,0
really great design,0,0,0,0,0,0
That is a damn fantastic performance,0,0,1,0,0,0
That is a really genius song,0,0,0,0,0,0
You represent n.i.g.g.e.r,1,0,1,0,1,0
You are impossible to underestimate,1,0,0,0,1,0
bloody amazing movie,0,0,1,0,0,0
Just hella excellent,0,0,1,0,0,0
Honestly bloody excellent,0,0,1,0,0,0
She is a total monster with the guitar,0,0,0,0,0,0
You are a killer with football,0,0,0,0,0,0
damn wicked work,0,0,1,0,0,0
fucking cool performance,0,0,1,0,0,0
She is a total wizard with python,0,0,0,0,0,0
That is a fucking genius art,0,0,1,0,0,0
That is a bloody magnificent idea,0,0,1,0,0,0
You are a beast on the guitar,0,0,0,0,0,0
That is a bloody good job,0,0,1,0,0,0
idiot,1,0,0,0,1,0
That is a damn smart movie,0,0,1,0,0,0
This is really nice,0,0,0,0,0,0
She is a total beast at everything,0,0,0,0,0,0
"Keep rolling your eyes, maybe you'll find a brain back there",1,0,0,0,1,0
She is a total beast on the guitar,0,0,0,0,0,0
That is a absolutely awesome song,0,0,0,0,0,0
freaking incredible art,0,0,0,0,0,0
really incredible work,0,0,0,0,0,0
Just totally wicked,0,0,0,0,0,0
God is so unfair to take away your intelligence,1,0,0,0,1,0
That is a absolutely good movie,0,0,0,0,0,0
That is a bloody funny performance,0,0,1,0,0,0
absolutely incredible song,0,0,0,0,0,0
totally excellent movie,0,0,0,0,0,0
"If laughter is the best medicine, your face must be curing the world",1,0,0,0,1,0
Honestly totally incredible,0,0,0,0,0,0
Just fucking great,0,0,1,0,0,0
hella perfect game,0,0,1,0,0,0
That is really dope,0,0,0,0,0,0
That is a fucking brilliant code,0,0,1,0,0,0
It was fucking fantastic,0,0,1,0,0,0
damn cool performance,0,0,1,0,0,0
Truly fucking sick,0,0,1,0,0,0
Truly hella genius,0,0,1,0,0,0
Truly damn cool,0,0,1,0,0,0
He is a demon at solving problems,0,0,0,0,0,0
totally sick design,0,0,0,0,0,0
It was hella funny,0,0,1,0,0,0
That is a totally brilliant movie,0,0,0,0,0,0
That is a totally perfect movie,0,0,0,0,0,0
That is freaking nice,0,0,0,0,0,0
That is fucking incredible,0,0,1,0,0,0
This is totally lovely,0,0,0,0,0,0
That is hella amazing,0,0,1,0,0,0
It was totally genius,0,0,0,0,0,0
bloody excellent job,0,0,1,0,0,0
You are fucking incredible,0,0,1,0,0,0
totally genius work,0,0,0,0,0,0
bloody wicked job,0,0,1,0,0,0
That is a totally superb performance,0,0,0,0,0,0
Honestly totally magnificent,0,0,0,0,0,0
It was bloody funny,0,0,1,0,0,0
That is a totally lovely art,0,0,0,0,0,0
I really hate rain,0,0,0,0,0,0
That is a damn amazing performance,0,0,1,0,0,0
That is a hella talented art,0,0,1,0,0,0
That is a really amazing movie,0,0,0,0,0,0
bloody fantastic job,0,0,1,0,0,0
hella cool game,0,0,1,0,0,0
Honestly freaking lovely,0,0,0,0,0,0
Your birth certificate is an apology letter from the condom factory,1,0,0,0,1,0
He is a demon with gaming,0,0,0,0,0,0
bloody sick design,0,0,1,0,0,0
That is a really magnificent job,0,0,0,0,0,0
totally best art,0,0,0,0,0,0
fucking smart game,0,0,1,0,0,0
Honestly absolutely superb,0,0,0,0,0,0
It was freaking funny,0,0,0,0,0,0
freaking talented performance,0,0,0,0,0,0
Honestly totally amazing,0,0,0,0,0,0
You are absolutely nice,0,0,0,0,0,0
bloody magnificent song,0,0,1,0,0,0
That is a really superb code,0,0,0,0,0,0
That is a totally brilliant idea,0,0,0,0,0,0
It was totally perfect,0,0,0,0,0,0
bloody sick art,0,0,1,0,0,0
He is a machine with the piano,0,0,0,0,0,0
totally dope art,0,0,0,0,0,0
Just bloody sick,0,0,1,0,0,0
She is a total beast on cooking,0,0,0,0,0,0
fucking legendary idea,0,0,1,0,0,0
You represent a s s h o l e,1,0,1,0,1,0
Just fucking amazing,0,0,1,0,0,0
This is bloody good,0,0,1,0,0,0
damn amazing song,0,0,1,0,0,0
Honestly freaking brilliant,0,0,0,0,0,0
Honestly really wonderful,0,0,0,0,0,0
It was freaking cool,0,0,0,0,0,0
Your secrets are always safe with me because I never listen to you,1,0,0,0,1,0
That is a really smart code,0,0,0,0,0,0
whore,1,0,1,0,1,0
It was really incredible,0,0,0,0,0,0
hella best performance,0,0,1,0,0,0
That is totally beautiful,0,0,0,0,0,0
That is a totally perfect performance,0,0,0,0,0,0
It was totally good,0,0,0,0,0,0
You are a machine at cooking,0,0,0,0,0,0
Honestly hella cool,0,0,1,0,0,0
That is a hella superb game,0,0,1,0,0,0
You are fucking perfect,0,0,1,0,0,0
Truly freaking spectacular,0,0,0,0,0,0
That is a totally wonderful design,0,0,0,0,0,0
This is bloody sick,0,0,1,0,0,0
That is a hella excellent work,0,0,1,0,0,0
You are totally nice,0,0,0,0,0,0
You are absolutely magnificent,0,0,0,0,0,0
hella wicked job,0,0,1,0,0,0
This is really genius,0,0,0,0,0,0
That is a freaking best performance,0,0,0,0,0,0
bloody genius work,0,0,1,0,0,0
That is a freaking perfect job,0,0,0,0,0,0
This is absolutely incredible,0,0,0,0,0,0
Honestly really genius,0,0,0,0,0,0
really cool song,0,0,0,0,0,0
freaking awesome work,0,0,0,0,0,0
It was hella incredible,0,0,1,0,0,0
That is a fucking spectacular game,0,0,1,0,0,0
That is a freaking legendary performance,0,0,0,0,0,0
Truly freaking funny,0,0,0,0,0,0
Truly damn magnificent,0,0,1,0,0,0
Honestly bloody dope,0,0,1,0,0,0
totally beautiful performance,0,0,0,0,0,0
She is a total killer with chess,0,0,0,0,0,0
freaking excellent job,0,0,0,0,0,0
This is hella magnificent,0,0,1,0,0,0
Honestly fucking legendary,0,0,1,0,0,0
Honestly freaking legendary,0,0,0,0,0,0
bloody beautiful design,0,0,1,0,0,0
That is a fucking beautiful work,0,0,1,0,0,0
That is a fucking genius movie,0,0,1,0,0,0
Honestly hella good,0,0,1,0,0,0
You are really spectacular,0,0,0,0,0,0
Truly totally funny,0,0,0,0,0,0
She is a total legend on solving problems,0,0,0,0,0,0
That is really great,0,0,0,0,0,0
freaking best work,0,0,0,0,0,0
God is so unfair to take away your intelligence,1,0,0,0,1,0
You are a demon at python,0,0,0,0,0,0
That is a damn best job,0,0,1,0,0,0
He is a killer with coding,0,0,0,0,0,0
That is a hella incredible movie,0,0,1,0,0,0
That is a really fantastic art,0,0,0,0,0,0
She is a total beast at gaming,0,0,0,0,0,0
freaking amazing art,0,0,0,0,0,0
It was damn awesome,0,0,1,0,0,0
She is a total monster on python,0,0,0,0,0,0
That is absolutely awesome,0,0,0,0,0,0
That is a bloody great performance,0,0,1,0,0,0
That is a totally nice code,0,0,0,0,0,0
You are damn superb,0,0,1,0,0,0
You are a killer at solving problems,0,0,0,0,0,0
This is hella lovely,0,0,1,0,0,0
You are really legendary,0,0,0,0,0,0
That is a hella smart job,0,0,1,0,0,0
You are really awesome,0,0,0,0,0,0
fucking wicked art,0,0,1,0,0,0
That is a totally wicked design,0,0,0,0,0,0
You are hella excellent,0,0,1,0,0,0
She is a total legend on the piano,0,0,0,0,0,0
She is a total legend on coding,0,0,0,0,0,0
You are not pretty enough to be this stupid,1,0,0,0,1,0
Just totally brilliant,0,0,0,0,0,0
That is totally superb,0,0,0,0,0,0
She is a total wizard at the piano,0,0,0,0,0,0
It was damn amazing,0,0,1,0,0,0
That is absolutely fantastic,0,0,0,0,0,0
freaking good idea,0,0,0,0,0,0
That is a freaking dope song,0,0,0,0,0,0
He is a legend on the piano,0,0,0,0,0,0
That is bloody funny,0,0,1,0,0,0
totally cool song,0,0,0,0,0,0
Just freaking spectacular,0,0,0,0,0,0
absolutely genius movie,0,0,0,0,0,0
It was absolutely dope,0,0,0,0,0,0
That is fucking great,0,0,1,0,0,0
hella beautiful game,0,0,1,0,0,0
freaking dope code,0,0,0,0,0,0
That is bloody legendary,0,0,1,0,0,0
This is absolutely awesome,0,0,0,0,0,0
It was absolutely spectacular,0,0,0,0,0,0
That is a really nice song,0,0,0,0,0,0
That is a totally awesome song,0,0,0,0,0,0
That is a hella smart idea,0,0,1,0,0,0
Just totally amazing,0,0,0,0,0,0
absolutely talented art,0,0,0,0,0,0
absolutely great song,0,0,0,0,0,0
You are a wizard with coding,0,0,0,0,0,0
really good design,0,0,0,0,0,0
You are a monster with designing,0,0,0,0,0,0
That is a freaking fantastic design,0,0,0,0,0,0
totally fantastic song,0,0,0,0,0,0
really talented work,0,0,0,0,0,0
That is absolutely brilliant,0,0,0,0,0,0
That is fucking wicked,0,0,1,0,0,0
You are proof that evolution can go in reverse,1,0,0,0,1,0
Honestly bloody superb,0,0,1,0,0,0
He is a beast on the piano,0,0,0,0,0,0
Honestly damn dope,0,0,1,0,0,0
That is a hella fantastic song,0,0,1,0,0,0
That is a freaking best art,0,0,0,0,0,0
absolutely beautiful art,0,0,0,0,0,0
You are damn dope,0,0,1,0,0,0
freaking genius game,0,0,0,0,0,0
You represent s h i t,1,0,1,0,1,0
She is a total machine with python,0,0,0,0,0,0
That is fucking dope,0,0,1,0,0,0
He is a killer at football,0,0,0,0,0,0
really cool work,0,0,0,0,0,0
Your secrets are always safe with me because I never listen to you,1,0,0,0,1,0
Just really sick,0,0,0,0,0,0
That is a hella talented design,0,0,1,0,0,0
That is a really dope code,0,0,0,0,0,0
Just bloody amazing,0,0,1,0,0,0
Truly absolutely magnificent,0,0,0,0,0,0
Somewhere a tree is working hard to replace the oxygen you waste,1,0,0,0,1,0
damn incredible work,0,0,1,0,0,0
Truly bloody smart,0,0,1,0,0,0
You are bloody sick,0,0,1,0,0,0
That is a freaking legendary idea,0,0,0,0,0,0
He is a monster at chess,0,0,0,0,0,0
That is a fucking brilliant song,0,0,1,0,0,0
That is a totally amazing art,0,0,0,0,0,0
Truly totally awesome,0,0,0,0,0,0
This is damn superb,0,0,1,0,0,0
That is a damn talented work,0,0,1,0,0,0
It was freaking perfect,0,0,0,0,0,0
You are a wizard at everything,0,0,0,0,0,0
totally best code,0,0,0,0,0,0
She is a total demon with python,0,0,0,0,0,0
That is a bloody amazing movie,0,0,1,0,0,0
That is a damn talented design,0,0,1,0,0,0
You are fucking good,0,0,1,0,0,0
That is hella wicked,0,0,1,0,0,0
You bring so much joy when you leave the room,1,0,0,0,1,0
Truly hella excellent,0,0,1,0,0,0
That is a totally nice idea,0,0,0,0,0,0
freaking superb idea,0,0,0,0,0,0
She is a total demon on gaming,0,0,0,0,0,0
That is a damn genius idea,0,0,1,0,0,0
Just hella talented,0,0,1,0,0,0
That is hella good,0,0,1,0,0,0
He is a killer on python,0,0,0,0,0,0
That is totally legendary,0,0,0,0,0,0
That is a totally magnificent art,0,0,0,0,0,0
Truly bloody best,0,0,1,0,0,0
He is a monster with cooking,0,0,0,0,0,0
Wisdom has been chasing you but you have always been faster,1,0,0,0,1,0
She is a total machine on the piano,0,0,0,0,0,0
This is fucking cool,0,0,1,0,0,0
really nice idea,0,0,0,0,0,0
He is a machine with football,0,0,0,0,0,0
freaking wonderful performance,0,0,0,0,0,0
You are the reason instructions are written on shampoo bottles,1,0,0,0,1,0
damn magnificent work,0,0,1,0,0,0
This is fucking fantastic,0,0,1,0,0,0
Just freaking magnificent,0,0,0,0,0,0
That is a totally wonderful art,0,0,0,0,0,0
stfu,1,0,1,0,1,0
Somewhere a tree is working hard to replace the oxygen you waste,1,0,0,0,1,0
You represent f.a.g.g.o.t,1,0,1,0,1,0
You are a wizard at python,0,0,0,0,0,0
Truly fucking nice,0,0,1,0,0,0
Wisdom has been chasing you but you have always been faster,1,0,0,0,1,0
Just hella incredible,0,0,1,0,0,0
Truly absolutely genius,0,0,0,0,0,0
You are a wizard at solving problems,0,0,0,0,0,0
Truly hella amazing,0,0,1,0,0,0
That is a damn nice performance,0,0,1,0,0,0
He is a killer on coding,0,0,0,0,0,0
Truly fucking awesome,0,0,1,0,0,0
damn superb job,0,0,1,0,0,0
totally awesome movie,0,0,0,0,0,0
Honestly hella nice,0,0,1,0,0,0
That is a fucking magnificent design,0,0,1,0,0,0
You are freaking funny,0,0,0,0,0,0
damn amazing work,0,0,1,0,0,0
This is fucking funny,0,0,1,0,0,0
absolutely wonderful work,0,0,0,0,0,0
This is freaking perfect,0,0,0,0,0,0
That is a fucking funny performance,0,0,1,0,0,0
He is a killer with the guitar,0,0,0,0,0,0
He is a machine on designing,0,0,0,0,0,0
This is bloody beautiful,0,0,1,0,0,0
It was damn excellent,0,0,1,0,0,0
Just damn genius,0,0,1,0,0,0
Truly totally wicked,0,0,0,0,0,0
bloody incredible code,0,0,1,0,0,0
She is a total wizard on coding,0,0,0,0,0,0
You are impossible to underestimate,1,0,0,0,1,0
freaking perfect code,0,0,0,0,0,0
That is a bloody sick movie,0,0,1,0,0,0
Honestly really best,0,0,0,0,0,0
Just freaking awesome,0,0,0,0,0,0
That is a absolutely incredible song,0,0,0,0,0,0
I would explain it to you but I don't have any crayons,1,0,0,0,1,0
damn superb work,0,0,1,0,0,0
It was hella awesome,0,0,1,0,0,0
hella cool work,0,0,1,0,0,0
That is a absolutely great movie,0,0,0,0,0,0
She is a total beast on gaming,0,0,0,0,0,0
absolutely good idea,0,0,0,0,0,0
Honestly absolutely perfect,0,0,0,0,0,0
That is a really superb song,0,0,0,0,0,0
hella genius game,0,0,1,0,0,0
totally nice idea,0,0,0,0,0,0
You are impossible to underestimate,1,0,0,0,1,0
It was totally beautiful,0,0,0,0,0,0
I'd agree with you but then we'd both be wrong,1,0,0,0,1,0
really nice art,0,0,0,0,0,0
That is absolutely funny,0,0,0,0,0,0
It was freaking amazing,0,0,0,0,0,0
You have a very large brain for someone who doesn't use it,1,0,0,0,1,0
You represent $h1+,1,0,1,0,1,0
freaking funny art,0,0,0,0,0,0
That is a really brilliant design,0,0,0,0,0,0
"Please try thinking, it's not illegal yet",1,0,0,0,1,0
He is a beast at chess,0,0,0,0,0,0
Just hella wicked,0,0,1,0,0,0
That is a fucking excellent work,0,0,1,0,0,0
really incredible job,0,0,0,0,0,0
fucking spectacular game,0,0,1,0,0,0
He is a wizard on gaming,0,0,0,0,0,0
That is a really beautiful idea,0,0,0,0,0,0
She is a total demon with the piano,0,0,0,0,0,0
That is a bloody sick art,0,0,1,0,0,0
You are a monster with solving problems,0,0,0,0,0,0
That is a fucking fantastic code,0,0,1,0,0,0
He is a monster on football,0,0,0,0,0,0
That is a absolutely amazing idea,0,0,0,0,0,0
That is a hella wicked song,0,0,1,0,0,0
He is a wizard with the piano,0,0,0,0,0,0
This is really magnificent,0,0,0,0,0,0
That is a absolutely fantastic design,0,0,0,0,0,0
You are hella perfect,0,0,1,0,0,0
Honestly hella great,0,0,1,0,0,0
"Keep rolling your eyes, maybe you'll find a brain back there",1,0,0,0,1,0
She is a total machine on designing,0,0,0,0,0,0
You killed that performance,0,0,0,0,0,0
You are bloody talented,0,0,1,0,0,0
This is fucking wicked,0,0,1,0,0,0
It was totally excellent,0,0,0,0,0,0
Truly absolutely excellent,0,0,0,0,0,0
He is a demon at the piano,0,0,0,0,0,0
idiot,1,0,0,0,1,0
hella funny idea,0,0,1,0,0,0
freaking incredible movie,0,0,0,0,0,0
It was freaking dope,0,0,0,0,0,0
That is a totally fantastic design,0,0,0,0,0,0
bloody beautiful job,0,0,1,0,0,0
She is a total monster at coding,0,0,0,0,0,0
This is really brilliant,0,0,0,0,0,0
That is a freaking fantastic job,0,0,0,0,0,0
Just hella perfect,0,0,1,0,0,0
This is bloody lovely,0,0,1,0,0,0
It was fucking genius,0,0,1,0,0,0
really awesome performance,0,0,0,0,0,0
Honestly freaking awesome,0,0,0,0,0,0
That is a really smart performance,0,0,0,0,0,0
That is a bloody brilliant performance,0,0,1,0,0,0
You are a beast with chess,0,0,0,0,0,0
You are a demon on football,0,0,0,0,0,0
That is a fucking fantastic work,0,0,1,0,0,0
You are totally wicked,0,0,0,0,0,0
c u n t,1,0,1,0,1,0
It was damn perfect,0,0,1,0,0,0
It was totally wicked,0,0,0,0,0,0
You are really cool,0,0,0,0,0,0
That is a hella lovely code,0,0,1,0,0,0
That is a fucking legendary game,0,0,1,0,0,0
You are the reason instructions are written on shampoo bottles,1,0,0,0,1,0
You are a waste of space and time,1,0,0,0,1,0
That is totally excellent,0,0,0,0,0,0
That is a freaking genius idea,0,0,0,0,0,0
n.i.g.g.e.r,1,0,1,0,1,0
You represent d i c k,1,0,1,0,1,0
He is a killer at cooking,0,0,0,0,0,0
damn wicked game,0,0,1,0,0,0
That is a damn fantastic job,0,0,1,0,0,0
That is damn perfect,0,0,1,0,0,0
fucking lovely idea,0,0,1,0,0,0
Truly damn incredible,0,0,1,0,0,0
That is a damn incredible song,0,0,1,0,0,0
That is a bloody awesome art,0,0,1,0,0,0
freaking great idea,0,0,0,0,0,0
This is freaking cool,0,0,0,0,0,0
That is a totally smart movie,0,0,0,0,0,0
absolutely excellent song,0,0,0,0,0,0
That is a fucking spectacular song,0,0,1,0,0,0
Truly absolutely nice,0,0,0,0,0,0
hella funny performance,0,0,1,0,0,0
really excellent idea,0,0,0,0,0,0
bloody genius code,0,0,1,0,0,0
You are fucking spectacular,0,0,1,0,0,0
That is a absolutely talented design,0,0,0,0,0,0
Honestly hella lovely,0,0,1,0,0,0
That is hella nice,0,0,1,0,0,0
Honestly damn incredible,0,0,1,0,0,0
This is freaking magnificent,0,0,0,0,0,0
God is so unfair to take away your intelligence,1,0,0,0,1,0
That is a totally superb movie,0,0,0,0,0,0
"I forgot the world revolves around you, my apologies",1,0,0,0,1,0
That is bloody great,0,0,1,0,0,0
That is a freaking sick art,0,0,0,0,0,0
That is a really smart game,0,0,0,0,0,0
Honestly really magnificent,0,0,0,0,0,0
It was damn great,0,0,1,0,0,0
Wisdom has been chasing you but you have always been faster,1,0,0,0,1,0
This is totally talented,0,0,0,0,0,0
You are a killer on gaming,0,0,0,0,0,0
kill yourself,1,0,0,1,0,0
Honestly freaking smart,0,0,0,0,0,0
He is a beast at everything,0,0,0,0,0,0
damn spectacular work,0,0,1,0,0,0
retard,1,0,1,0,1,0
That is a really fantastic song,0,0,0,0,0,0
Just bloody incredible,0,0,1,0,0,0
That is fucking amazing,0,0,1,0,0,0
Just hella wonderful,0,0,1,0,0,0
You are a demon at designing,0,0,0,0,0,0
a s s h o l e,1,0,1,0,1,0
You are a killer on solving problems,0,0,0,0,0,0
